word,syllable,start,end,syl,f0_freq,pitch,midi
take,TEY1K,38.48,38.57,take,359.222,F4,65
a,AH0,38.57,38.6,a,327.396,E4,64
cup,KAH1P,38.6,38.69,cup,325.769,E4,64
o',OW1,38.92,45.96,o',468.685,A#4,70
kindness,KAY1N,45.99,46.3,kind,381.613,G4,67
kindness,DNAH0S,46.3,49.1,ness,354.339,F4,65
yet,YEH1T,49.1,49.37,yet,355.621,F4,65
for,FER0,49.37,49.43,for,644.376,E5,76
auld,AA1LD,49.82,51.62,auld,329.35249999999996,E4,64
lang,LAE1NG,51.62,51.84,lang,262.615,C4,60
syne,SAY1N,51.84,52.51,syne,241.6,B3,59
for,FER0,52.51,52.57,for,213.518,G#3,56
auld,AO1LD,52.57,52.66,auld,223.695,A3,57
lang,LAE1NG,52.66,53.03,lang,242.509,B3,59
syne,SAY1N,53.03,54.67,syne,304.7305,D#4,63
my,MAY1,54.67,54.73,my,312.96,D#4,63
dear,DIH1R,55.29,55.9,dear,233.705,A#3,58
for,FER0,56.01,56.07,for,260.414,C4,60
auld,AA1LD,56.07,56.16,auld,275.465,C#4,61
lang,LAE1NG,56.16,56.69,lang,312.371,D#4,63
syne,SAY1N,56.69,57.72,syne,303.058,D#4,63
we'll,WIH1L,58.0,58.11,we'll,376.434,F#4,66
take,TEY1K,58.11,58.2,take,380.461,F#4,66
a,AH0,58.2,58.23,a,393.296,G4,67
cup,KAH1P,58.23,58.58,cup,393.757,G4,67
of,AH0V,58.58,58.66,of,397.089,G4,67
kindness,KAY1N,58.66,59.63,kind,354.068,F4,65
kindness,DNAH0S,59.63,60.0,ness,311.645,D#4,63
yet,YEH1T,60.0,60.4,yet,330.854,E4,64
for,FER0,60.7,60.77,for,408.796,G#4,68
auld,AA1LD,60.77,61.02,auld,393.919,G4,67
lang,LAE1NG,61.02,61.34,lang,355.188,F4,65
syne,SAY1N,61.34,61.43,syne,286.807,D4,62
we,WIY1,61.43,62.34,we,308.906,D#4,63
two,TUW1,62.34,62.4,two,310.508,D#4,63
have,HHAE1V,62.4,62.51,have,311.642,D#4,63
run,RAH1N,62.51,62.6,run,312.019,D#4,63
about,AH0,62.6,62.63,a,312.066,D#4,63
about,BAW1T,62.63,62.72,bout,312.11,D#4,63
the,DHAH0,62.72,64.45,the,398.85850000000005,G4,67
hills,HHIH1LZ,65.41,65.54,hills,505.117,B4,71
and,AE1ND,65.94,66.03,and,581.559,D5,74
picked,PIH1KT,66.03,66.15,picked,466.292,A#4,70
the,DHAH0,66.15,67.8,the,467.622,A#4,70
daisies,DEY1,67.83,68.08,dais,393.137,G4,67
daisies,ZIY0Z,68.08,68.21,ies,389.09,G4,67
fine,FAY1N,68.21,68.59,fine,357.917,F4,65
but,BAH1T,68.59,68.79,but,393.185,G4,67
we've,WIY1V,68.79,68.88,we've,351.847,F4,65
wandered,WAA1N,68.88,69.16,wan,309.316,D#4,63
wandered,DER0D,69.16,69.25,dered,298.929,D4,62
many,MEH1,69.6,70.14,ma,349.322,F4,65
many,NIY0,70.14,70.46,ny,349.942,F4,65
a,EY1,70.46,70.49,a,350.405,F4,65
weary,WIH1,70.49,70.62,wea,304.898,D#4,63
weary,RIY0,70.62,70.68,ry,306.163,D#4,63
foot,FUH1T,70.68,70.75,foot,308.507,D#4,63
since,SIH1NS,70.75,71.22,since,350.618,F4,65
auld,AA1LD,71.61,72.91,auld,331.80150000000003,E4,64
lang,LAE1NG,72.91,74.91,lang,253.71699999999998,B3,59
syne,SAY1N,74.91,76.57,syne,305.07050000000004,D#4,63
for,FRER0,77.01,77.13,for,507.318,B4,71
auld,AA1LD,77.48,79.12,auld,469.1785,A#4,70
lang,LAE1NG,79.12,80.33,lang,310.51,D#4,63
syne,SAY1N,80.33,82.2,syne,350.427,F4,65
my,MAY1,82.51,86.93,my,393.776,G4,67
dear,DIH1R,88.61,89.59,dear,468.15,A#4,70
for,FER0,89.59,89.69,for,379.966,F#4,66
