time,frequency,confidence
4.380,703.664,0.735056
4.390,701.844,0.768800
4.400,704.195,0.662050
4.410,705.837,0.801179
4.420,707.011,0.841653
4.430,708.561,0.754088
4.440,703.641,0.714580
4.450,702.410,0.677107
4.460,702.125,0.597757
4.470,704.413,0.499249
4.480,700.622,0.470137
4.490,701.944,0.731615
4.500,705.191,0.792849
4.510,710.281,0.750604
4.520,717.567,0.679819
4.530,714.576,0.366858
4.540,343.199,0.123949
4.550,342.292,0.484576
4.560,335.372,0.443868
4.570,344.673,0.307542
4.580,349.018,0.534244
4.590,349.711,0.653991
4.600,349.488,0.294285
4.610,701.983,0.226179
4.620,335.521,0.131966
4.630,339.068,0.275334
4.640,58.109,0.271553
4.650,58.678,0.666550
4.660,115.529,0.173064
4.670,339.219,0.374003
4.680,117.006,0.392355
4.690,350.649,0.742289
4.700,351.407,0.766345
4.710,350.936,0.741563
4.720,349.879,0.425133
4.730,115.168,0.419930
4.740,57.203,0.401637
4.750,116.201,0.252287
4.760,117.520,0.294522
4.770,117.012,0.195100
4.780,116.790,0.170512
4.790,116.160,0.125961
4.800,116.951,0.256562
4.810,352.303,0.439994
4.820,352.190,0.577183
4.830,350.189,0.637370
4.840,350.081,0.347854
4.850,351.114,0.608654
4.860,352.701,0.784678
4.870,353.731,0.857391
4.880,353.029,0.823199
4.890,352.704,0.731890
4.900,353.021,0.656959
4.910,353.257,0.256862
4.920,407.579,0.178637
4.930,178.953,0.133380
4.940,405.412,0.250333
4.950,409.524,0.165150
4.960,415.014,0.149777
4.970,236.610,0.164864
4.980,233.918,0.114881
4.990,210.190,0.081053
5.000,208.475,0.060724
5.010,349.758,0.348173
5.020,58.693,0.309152
5.030,346.225,0.480113
5.040,344.872,0.345105
5.050,346.898,0.278094
5.060,308.820,0.338027
5.070,203.395,0.232159
5.080,205.374,0.371725
5.090,206.163,0.160892
5.100,206.334,0.111127
5.110,111.196,0.079930
5.120,628.994,0.197761
5.130,633.536,0.340944
5.140,630.572,0.374717
5.150,319.720,0.352563
5.160,316.807,0.290725
5.170,620.129,0.293278
5.180,621.979,0.485066
5.190,622.154,0.555766
5.200,622.685,0.549819
5.210,626.893,0.555737
5.220,614.654,0.427145
5.230,611.444,0.669211
5.240,613.911,0.726402
5.250,611.338,0.705674
5.260,611.224,0.775644
5.270,611.270,0.812642
5.280,606.324,0.763562
5.290,607.316,0.744787
5.300,610.403,0.809564
5.310,611.525,0.814683
5.320,610.274,0.771245
5.330,610.440,0.673924
5.340,615.418,0.722670
5.350,617.055,0.807233
5.360,616.926,0.807758
5.370,620.936,0.792774
5.380,624.661,0.858312
5.390,627.510,0.855170
5.400,627.401,0.744017
5.410,626.082,0.623765
5.420,618.981,0.522579
5.430,610.980,0.501951
5.440,615.975,0.554679
5.450,615.993,0.742990
5.460,614.411,0.648084
5.470,611.772,0.512987
5.480,617.942,0.713189
5.490,620.227,0.769865
5.500,621.846,0.510194
5.510,689.478,0.398439
5.520,695.332,0.541106
5.530,701.547,0.731904
5.540,708.414,0.850405
5.550,708.897,0.726063
5.560,698.989,0.722468
5.570,697.299,0.798391
5.580,697.167,0.843138
5.590,693.129,0.748832
5.600,702.788,0.696318
5.610,703.953,0.770825
5.620,702.902,0.884149
5.630,703.081,0.908053
5.640,702.268,0.910033
5.650,701.187,0.878701
5.660,701.456,0.745960
5.670,699.590,0.610019
5.680,696.344,0.710224
5.690,696.344,0.732968
5.700,699.207,0.737988
5.710,700.928,0.865437
5.720,701.653,0.897985
5.730,702.675,0.896980
5.740,702.424,0.866392
5.750,700.898,0.789648
5.760,701.482,0.593864
5.770,702.155,0.491946
5.780,692.085,0.505565
5.790,689.188,0.549653
5.800,690.017,0.758538
5.810,694.736,0.861828
5.820,697.198,0.900151
5.830,695.952,0.861012
5.840,696.100,0.796012
5.850,700.854,0.798889
5.860,712.364,0.692634
5.870,703.940,0.591473
5.880,696.557,0.529461
5.890,699.387,0.721457
5.900,699.441,0.822665
5.910,699.468,0.866675
5.920,701.088,0.891634
5.930,700.394,0.867453
5.940,703.089,0.846503
5.950,706.507,0.791682
5.960,703.012,0.523674
5.970,697.434,0.629053
5.980,697.310,0.603220
5.990,700.251,0.572561
6.000,703.520,0.699577
6.010,703.777,0.839569
6.020,701.953,0.885122
6.030,702.474,0.856582
6.040,704.517,0.818892
6.050,705.294,0.678946
